School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Boston College,0.4666666666666667,0.47533632286995486,DE,0.8333333333333334,0.6785714285714286,Mehdi Abdesmad,0.425531914893617,0.6766467065868264,College Stats,0.622047244094488,0.5923076923076922,0
Oregon,0.4666666666666667,0.14798206278026907,QB,0.25,?,Vernon Adams,0.5531914893617021,0.17365269461077845,College Stats,0.409448818897638,0.2692307692307692,0
South Carolina,0.6,0.25112107623318364,TE,0.75,?,Jerell Adams\AdamJe01,0.6170212765957447,0.4550898203592814,College Stats,0.25984251968503935,0.3538461538461534,6th
Oregon,0.6888888888888889,0.20627802690582955,WR,0.08333333333333333,0.25,Bralon Addison\AddiBr01,0.5957446808510638,0.15568862275449102,College Stats,0.2755905511811027,0.22307692307692273,0
Florida State,?,?,K,0.3333333333333333,?,Roberto Aguayo\AguaRo00,?,0.2155688622754491,College Stats,0.5118110236220473,?,2nd
Clemson,?,?,CB,0.16666666666666666,0.17857142857142858,Mackensie Alexander\AlexMa01,?,0.11377245508982035,College Stats,0.09448818897637801,?,2nd
Oklahoma,0.4222222222222222,?,ILB,0.3333333333333333,0.39285714285714285,Dominique Alexander\AlexDo00,0.3404255319148936,0.3652694610778443,College Stats,0.25984251968503935,?,0
Louisiana State,0.2222222222222222,0.6950672645739904,OT,0.75,0.6785714285714286,Vadal Alexander\AlexVa00,0.14893617021276595,0.9281437125748503,College Stats,0.9921259842519686,0.8076923076923077,7th
Arkansas,0.4,0.25560538116591897,QB,0.4166666666666667,?,Brandon Allen\AlleBr00,0.46808510638297873,0.2754491017964072,College Stats,0.4173228346456693,0.36923076923076914,6th
Michigan State,0.3333333333333333,0.632286995515695,C,0.4166666666666667,0.6071428571428571,Jack Allen\AlleJa03,0.2765957446808511,0.7365269461077845,College Stats,0.7716535433070867,0.6769230769230771,0
Illinois,0.6222222222222222,0.4080717488789238,WR,0.5833333333333334,?,Geronimo Allison\AlliGe01,0.8297872340425532,0.1497005988023952,College Stats,0.283464566929134,0.3307692307692308,0
California,0.8444444444444444,?,TE,0.5,0.35714285714285715,Stephen Anderson,0.6595744680851063,0.3532934131736527,College Stats,0.220472440944882,?,0
Ohio State,?,?,CB,0.4166666666666667,0.25,Eli Apple\ApplEl00,?,0.16766467065868262,College Stats,0.07086614173228403,?,1st
Houston,0.6222222222222222,?,WR,0.08333333333333333,?,Demarcus Ayers\AyerDe00,0.7446808510638298,0.0658682634730539,College Stats,0.3228346456692913,?,7th
Georgia,0.4888888888888889,0.43497757847533614,DE,0.6666666666666666,0.5,Sterling Bailey,0.48936170212765956,0.6826347305389222,College Stats,0.724409448818898,0.6769230769230771,0
Auburn,0.6,0.22869955156950658,RB,0.16666666666666666,0.5,Peyton Barber\BarbPe01,0.48936170212765956,0.3413173652694611,College Stats,0.25984251968503935,0.27692307692307677,0
Oklahoma State,?,?,DE,0.75,0.5,Jimmy Bean\BeanJi01,?,0.5568862275449101,College Stats,0.440944881889764,?,0
Western Michigan,0.28888888888888886,0.6591928251121074,OT,0.75,0.5,Willie Beavers\BeavWi00,0.3191489361702128,0.8982035928143712,College Stats,0.7637795275590553,0.6615384615384613,4th
Ohio State,?,?,FS,0.25,0.35714285714285715,Vonn Bell\BellVo00,?,0.16766467065868262,College Stats,0.16535433070866132,?,2nd
UCLA,0.4,0.7443946188340806,OT,0.75,?,Caleb Benenoch\BeneCa00,0.3404255319148936,0.8383233532934131,College Stats,0.5275590551181107,0.9692307692307692,5th
Baylor,0.37777777777777777,0.6995515695067266,DT,0.4166666666666667,0.8928571428571429,Andrew Billings\BillAn00,0.5319148936170213,0.8383233532934131,College Stats,0.5826771653543307,0.7461538461538462,4th
Appalachian State,0.4888888888888889,0.6547085201793721,DE,0.5,0.9285714285714286,Ronald Blair\BlaiRo00,0.5319148936170213,0.6766467065868264,College Stats,0.661417322834646,0.5230769230769231,5th
Iowa,0.37777777777777777,0.4618834080717485,C,0.5,0.8214285714285714,Austin Blythe\BlytAu00,0.23404255319148937,0.7604790419161677,College Stats,0.8267716535433074,0.5230769230769231,7th
Minnesota,0.7111111111111111,0.30044843049327347,CB,0.08333333333333333,0.14285714285714285,Briean Boddy-Calhoun\BoddBr00,0.7446808510638298,0.1317365269461078,College Stats,0.125984251968504,0.28461538461538427,0
Missouri,0.4222222222222222,0.4618834080717485,C,0.5,0.6428571428571429,Evan Boehm\BoehEv00,0.1702127659574468,0.7844311377245509,College Stats,0.8031496062992126,0.6461538461538463,4th
Oklahoma,0.8222222222222222,0.2600896860986547,OLB,0.4166666666666667,0.5357142857142857,Devante Bond\BondDe00,0.7021276595744681,0.38323353293413176,College Stats,0.3070866141732287,0.3923076923076924,6th
Utah,?,?,RB,0.25,0.5714285714285714,Devontae Booker\BookDe00,?,0.2874251497005988,College Stats,0.19685039370078733,?,4th
Ohio State,0.5777777777777777,0.17937219730941675,DE,0.75,0.6428571428571429,Joey Bosa\BosaJo00,0.6808510638297872,0.5868263473053892,College Stats,0.4330708661417327,0.27692307692307677,1st
Pittsburgh,0.6666666666666666,0.1838565022421525,WR,0.4166666666666667,0.17857142857142858,Tyler Boyd\BoydTy00,0.6595744680851063,0.15568862275449102,College Stats,0.21259842519685068,0.3846153846153842,2nd
Texas Christian,0.5777777777777777,?,QB,0.3333333333333333,?,Trevone Boykin,0.46808510638297873,0.24550898203592814,College Stats,0.3622047244094487,0.4230769230769232,0
Samford,0.7555555555555555,0.18834080717488783,CB,0.4166666666666667,0.35714285714285715,James Bradberry,0.7659574468085106,0.23952095808383234,,0.1496062992125987,0.27692307692307677,0
Harvard,0.7333333333333333,0.1838565022421525,TE,0.5833333333333334,0.5,Ben Braunecker,0.7021276595744681,0.47305389221556887,,0.33070866141732336,0.2692307692307692,0
UCLA,0.4,0.3677130044843046,C,0.5833333333333334,0.6785714285714286,Jake Brendel\BrenJa01,0.425531914893617,0.7904191616766467,College Stats,0.5511811023622046,0.3230769230769226,0
North Carolina State,0.5333333333333333,0.3049327354260088,QB,0.6666666666666666,?,Jacoby Brissett\BrisJa00,0.5319148936170213,0.3592814371257485,College Stats,0.4960629921259847,0.5230769230769231,3rd
Missouri,0.4222222222222222,0.22421524663677125,OLB,0.3333333333333333,0.4642857142857143,Kentrell Brothers\BrotKe00,0.46808510638297873,0.4431137724550898,College Stats,0.4566929133858267,0.20000000000000015,5th
Notre Dame,?,?,WR,0.5,?,Chris Brown\BrowCh07,?,0.1377245508982036,College Stats,0.13385826771653603,?,0
Mississippi State,0.5333333333333333,0.2600896860986547,OLB,0.4166666666666667,0.42857142857142855,Beniquez Brown\BrowBe00,0.46808510638297873,0.3473053892215569,College Stats,0.3622047244094487,0.3307692307692308,0
Purdue,0.7111111111111111,0.24215246636771298,CB,0.25,0.4642857142857143,Anthony Brown\BrowAn02,0.574468085106383,0.12574850299401197,College Stats,0.01574803149606335,0.2615384615384617,6th
Florida State,0.6222222222222222,0.26457399103139,SS,0.3333333333333333,0.2857142857142857,Lamarcus Brutus\BrutLa00,0.5531914893617021,0.20958083832335328,College Stats,0.35433070866141736,0.36923076923076914,0
Oregon,0.5777777777777777,0.45739910313901316,DE,0.9166666666666666,?,Deforest Buckner\BuckDe00,0.5957446808510638,0.718562874251497,College Stats,0.5826771653543307,0.47692307692307656,1st
Florida,0.5777777777777777,0.3677130044843046,DE,0.5833333333333334,0.6071428571428571,Jonathan Bullard\BullJo00,0.5957446808510638,0.6826347305389222,College Stats,0.48818897637795267,0.5461538461538457,3rd
Michigan State,0.5111111111111111,0.3273542600896858,WR,0.3333333333333333,0.5,Aaron Burbridge\BurbAa00,0.574468085106383,0.20958083832335328,College Stats,0.19685039370078733,0.3538461538461534,6th
Miami (FL),0.5555555555555556,?,CB,0.3333333333333333,?,Artie Burns\BurnAr00,?,0.1317365269461078,College Stats,0.11811023622047268,?,1st
North Carolina State,0.7777777777777778,0.27354260089686067,CB,0.3333333333333333,0.4642857142857143,Juston Burris\BurrJu00,0.723404255319149,0.24550898203592814,College Stats,0.17322834645669336,0.4230769230769232,4th
Miami (FL),0.7555555555555555,?,FS,0.3333333333333333,0.39285714285714285,Deon Bush\BushDe00,0.7446808510638298,0.16766467065868262,College Stats,0.25984251968503935,?,4th
Louisiana Tech,0.4666666666666667,0.5964125560538116,DT,0.6666666666666666,0.7142857142857143,Vernon Butler\ButlVe00,0.3404255319148936,0.9101796407185628,College Stats,0.8031496062992126,0.6999999999999996,1st
Stanford,0.7555555555555555,0.0,WR,0.6666666666666666,0.21428571428571427,Devon Cajuste\CajuDe00,0.7446808510638298,0.3772455089820359,College Stats,0.2440944881889767,0.2692307692307692,0
Mississippi State,0.6444444444444445,?,CB,0.3333333333333333,0.2857142857142857,Taveze Calhoun\CalhTa01,?,0.12574850299401197,College Stats,0.21259842519685068,?,0
Michigan State,0.7111111111111111,0.2152466367713002,DE,0.6666666666666666,0.6071428571428571,Shilique Calhoun\CalhSh00,0.574468085106383,0.47904191616766467,College Stats,0.4015748031496067,0.30769230769230754,3rd
Minnesota,0.6666666666666666,?,OLB,0.6666666666666666,0.35714285714285715,DeVondre Campbell\CampDe00,0.5957446808510638,0.3652694610778443,College Stats,0.21259842519685068,?,4th
Virginia,0.8444444444444444,0.24215246636771298,CB,0.4166666666666667,0.35714285714285715,Maurice Canady\CanaMa00,0.7659574468085106,0.1317365269461078,College Stats,0.14173228346456734,0.1846153846153844,6th
Rutgers,0.7333333333333333,?,WR,0.3333333333333333,0.2857142857142857,Leonte Carroo\CarrLe00,0.6808510638297872,0.23952095808383234,College Stats,0.1496062992125987,?,3rd
Texas A&M,?,?,RB,0.25,0.4642857142857143,Tra Carson\CarsTr01,?,0.33532934131736525,College Stats,0.251968503937008,?,0
Utah,?,?,SS,0.4166666666666667,0.4642857142857143,Tevin Carter\CartTe00,?,0.281437125748503,College Stats,0.13385826771653603,?,0
Duke,?,?,SS,0.3333333333333333,?,Jeremy Cash\CashJe00,?,0.24550898203592814,College Stats,0.19685039370078733,?,0
Texas A&M,?,?,OG,0.8333333333333334,0.5,Joseph Cheek,?,0.7425149700598802,College Stats,0.7559055118110233,?,0
Texas Tech,?,?,OT,0.75,0.42857142857142855,LeRaven Clark\ClarLe01,?,0.8682634730538922,College Stats,0.6692913385826773,?,3rd
UCLA,0.4222222222222222,?,DT,0.5833333333333334,0.8214285714285714,Kenny Clark\ClarKe01,0.2978723404255319,0.8562874251497006,College Stats,0.590551181102362,0.5923076923076922,1st
Auburn,?,?,OT,0.75,0.5714285714285714,Shon Coleman\ColeSh00,?,0.8143712574850299,College Stats,0.6850393700787399,?,3rd
Baylor,0.9555555555555556,?,WR,0.25,0.39285714285714285,Corey Coleman\ColeCo00,0.8723404255319149,0.1377245508982036,College Stats,0.08661417322834668,?,1st
Nebraska,0.4666666666666667,0.4663677130044842,DT,0.5,0.6785714285714286,Maliek Collins\CollMa00,0.44680851063829785,0.8383233532934131,College Stats,0.566929133858268,0.5153846153846149,3rd
Arkansas,0.4222222222222222,?,RB,0.16666666666666666,0.42857142857142855,Alex Collins\CollAl00,0.5319148936170213,0.2754491017964072,College Stats,0.220472440944882,?,5th
Michigan State,0.4888888888888889,0.5112107623318384,OT,0.8333333333333334,0.6785714285714286,Jack Conklin\ConkJa00,0.3191489361702128,0.8203592814371258,College Stats,0.5433070866141734,0.5538461538461539,1st
Michigan State,0.6222222222222222,0.3228699551569505,QB,0.6666666666666666,?,Connor Cook\CookCo00,0.5319148936170213,0.2754491017964072,College Stats,0.37795275590551203,0.3307692307692308,4th
South Carolina,0.5333333333333333,?,WR,0.25,0.32142857142857145,Pharoh Cooper\CoopPh00,0.574468085106383,0.19161676646706588,College Stats,0.16535433070866132,?,4th
Mississippi,0.26666666666666666,0.6098654708520176,OT,0.6666666666666666,0.4642857142857143,Fahn Cooper\CoopFa00,0.2978723404255319,0.7904191616766467,College Stats,0.6771653543307087,0.7999999999999995,5th
Illinois St,0.6666666666666666,0.3452914798206275,RB,0.0,0.39285714285714285,Marshaun Coprich,0.5106382978723404,0.2155688622754491,,0.125984251968504,0.5615384615384614,0
Mississippi,0.5555555555555556,?,WR,0.5833333333333334,0.2857142857142857,Cody Core\CoreCo00,0.6595744680851063,0.20359281437125748,College Stats,0.125984251968504,?,6th
Boise State,0.6222222222222222,?,DE,0.5833333333333334,0.5357142857142857,Kamalei Correa\CorrKa00,0.425531914893617,0.4311377245508982,College Stats,0.2992125984251974,?,2nd
Southern Utah,0.5555555555555556,0.139013452914798,DE,0.5833333333333334,0.5357142857142857,James Cowser,0.48936170212765956,0.46107784431137727,,0.4015748031496067,0.3538461538461534,0
Maryland,?,?,K,0.3333333333333333,?,Brad Craddock\CradBr00,?,0.08982035928143713,College Stats,0.4488188976377953,?,0
Southern California,0.35555555555555557,?,OLB,0.4166666666666667,0.35714285714285715,SuA Cravens\CravSu00,0.5531914893617021,0.32934131736526945,College Stats,0.21259842519685068,?,2nd
