School,Vertical,3Cone,Pos,Ht,Bench,Player,Broad Jump,Wt,College,40yd,Shuttle,Drafted (tm/rnd/yr)
Texas,0.5263157894736842,0.10305343511450403,OLB,0.5714285714285714,0.4222222222222222,Sam Acho\AchoSa00,0.5660377358490566,0.47058823529411764,College Stats,0.22674418604651148,0.2619047619047622,4th
Auburn,?,?,WR,0.5714285714285714,?,Darvin Adams\AdamDa00,?,0.0855614973262032,College Stats,0.16279069767441826,?,0
Virginia,?,?,LS,0.7142857142857143,0.15555555555555556,Danny Aiken\AikeDa00,?,0.37433155080213903,College Stats,0.4186046511627906,?,0
South Carolina,0.02631578947368421,0.49618320610687033,DT,0.5,0.4222222222222222,Ladi Ajiboye,0.16981132075471697,0.6577540106951871,College Stats,0.5930232558139533,0.4940476190476192,0
Nebraska,?,?,DE,0.6428571428571429,?,Pierre Allen\AllePi00,?,0.5294117647058824,College Stats,0.29069767441860467,?,0
Citadel,0.631578947368421,0.1297709923664122,CB,0.5,0.3111111111111111,Cortez Allen\AlleCo00,0.8867924528301887,0.12299465240641712,,0.1279069767441859,0.07738095238095233,4th
Notre Dame,?,?,RB,0.14285714285714285,0.4222222222222222,Armando Allen\AlleAr00,?,0.13368983957219252,College Stats,0.18023255813953468,?,0
Georgia Tech,0.9473684210526315,0.14122137404580162,RB,0.5,0.4444444444444444,Anthony Allen\AlleAn01,0.7169811320754716,0.2887700534759358,College Stats,0.16279069767441826,0.107142857142857,7th
Nebraska,0.7631578947368421,0.2099236641221374,CB,0.42857142857142855,0.24444444444444444,Prince Amukamara\AmukPr00,0.8679245283018868,0.1711229946524064,College Stats,0.058139534883720735,0.11904761904761918,1st
Missouri State,0.2894736842105263,0.450381679389313,OG,0.7857142857142857,0.4666666666666667,David Arkin\ArkiDa00,0.39622641509433965,0.6737967914438503,,0.5988372093023253,0.4464285714285715,4th
Utah,0.34210526315789475,0.2557251908396947,RB,0.35714285714285715,0.4,Matt Asiata\AsiaMa00,0.41509433962264153,0.29411764705882354,College Stats,0.28488372093023223,0.29166666666666685,0
North Carolina,0.3684210526315789,0.3473282442748093,DT,0.5714285714285714,0.7555555555555555,Marvin Austin\AustMa00,0.5660377358490566,0.7219251336898396,College Stats,0.325581395348837,0.30952380952380987,2nd
UCLA,0.39473684210526316,0.40839694656488573,OLB,0.5714285714285714,0.3111111111111111,Akeem Ayers\AyerAk00,0.6415094339622641,0.42780748663101603,College Stats,0.3081395348837206,0.23809523809523836,2nd
Oklahoma State,?,?,K,0.42857142857142855,?,Dan Bailey\BailDa00,?,0.10160427807486631,College Stats,0.37209302325581384,?,0
Miami (FL),0.6842105263157895,0.3854961832061069,DE,0.6428571428571429,0.5111111111111111,Allen Bailey\BailAl00,0.660377358490566,0.5935828877005348,College Stats,0.24999999999999986,0.40476190476190466,3rd
Oregon,0.23684210526315788,0.24809160305343533,DE,0.8571428571428571,0.4888888888888889,Brandon Bair\BairBr00,0.6037735849056604,0.5454545454545454,College Stats,0.37209302325581384,0.29166666666666685,0
Pittsburgh,0.9736842105263158,0.24809160305343533,WR,0.7142857142857143,0.35555555555555557,Jon Baldwin\BaldJo00,0.8867924528301887,0.2887700534759358,College Stats,0.12209302325581395,0.27380952380952384,1st
Iowa,0.42105263157894735,0.4274809160305345,DE,0.7142857142857143,?,Christian Ballard\BallCh00,0.5471698113207547,0.5828877005347594,College Stats,0.27325581395348825,0.375,4th
LSU,0.2894736842105263,0.7061068702290078,OT,0.7857142857142857,0.5555555555555556,Joe Barksdale\BarkJo00,0.39622641509433965,0.8074866310160428,College Stats,0.5988372093023253,0.517857142857143,3rd
Syracuse,0.15789473684210525,0.4580152671755727,C,0.5,0.6666666666666666,Ryan Bartholomew\BartRy00,0.18867924528301888,0.6844919786096256,College Stats,0.3779069767441858,0.4404761904761907,0
Oklahoma,0.2631578947368421,0.29389312977099263,DE,0.5714285714285714,0.4,Jeremy Beal\BealJe00,0.4528301886792453,0.47058823529411764,College Stats,0.4999999999999997,0.34523809523809534,7th
Central Michigan,0.47368421052631576,0.21374045801526742,ILB,0.5,0.4222222222222222,Nick Bellore\BellNi01,0.5094339622641509,0.37967914438502676,College Stats,0.325581395348837,0.07142857142857151,0
Miami (FL),0.5263157894736842,0.2213740458015268,RB,0.2857142857142857,0.4222222222222222,Damien Berry\BerrDa00,0.7169811320754716,0.19786096256684493,College Stats,0.1744186046511627,0.14285714285714302,0
Cincinnati,0.42105263157894735,0.16793893129771012,WR,0.6428571428571429,0.2,Armon Binns\BinnAr00,0.6792452830188679,0.18716577540106952,College Stats,0.1279069767441859,0.2559523809523808,0
Florida,0.631578947368421,0.1641221374045801,SS,0.21428571428571427,0.3111111111111111,Ahmad Black\BlacAh00,0.6981132075471698,0.053475935828877004,College Stats,0.2441860465116279,0.1904761904761907,5th
Georgia,0.39473684210526316,0.47328244274809184,OG,0.7857142857142857,0.5333333333333333,Clint Boling\BoliCl00,0.37735849056603776,0.7165775401069518,College Stats,0.5813953488372093,0.45238095238095233,4th
Ohio State,?,0.43893129770992395,OG,0.6428571428571429,0.5333333333333333,Justin Boren\BoreJu00,?,0.7219251336898396,,0.6511627906976746,0.517857142857143,0
Miami (FL),?,?,P,0.5,0.08888888888888889,Matt Bosher\BoshMa00,?,0.18181818181818182,College Stats,0.29069767441860467,?,6th
Clemson,?,?,DE,0.6428571428571429,0.4,DaQuan Bowers\BoweDa00,?,0.5668449197860963,College Stats,0.37209302325581384,?,2nd
